datetime,account,category,amount,currency,note,record_type
2016-07-11 00:00:00,One,增肥,-110.0,TWD,中餐,transaction
2016-07-12 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-12 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-13 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-13 00:00:00,One,增肥,-200.0,TWD,晚餐,transaction
2016-07-13 00:00:00,One,增肥,-50.0,TWD,,transaction
2016-07-14 00:00:00,One,增肥,-285.0,TWD,中餐,transaction
2016-07-14 00:00:00,One,增肥,-450.0,TWD,晚餐,transaction
2016-07-15 00:00:00,One,增肥,-95.0,TWD,中餐,transaction
2016-07-15 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-16 00:00:00,One,增肥,-320.0,TWD,晚餐,transaction
2016-07-16 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-17 00:00:00,One,增肥,-179.0,TWD,Subway,transaction
2016-07-17 00:00:00,One,補給,3000.0,TWD,補助金,transaction
2016-07-19 00:00:00,One,增肥,-121.0,TWD,麥當勞,transaction
2016-07-19 00:00:00,One,增肥,-220.0,TWD,牛排,transaction
2016-07-20 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-20 00:00:00,One,增肥,-140.0,TWD,可口豬腳,transaction
2016-07-21 00:00:00,One,增肥,-230.0,TWD,晚餐,transaction
2016-07-21 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-22 00:00:00,One,增肥,-90.0,TWD,中餐,transaction
2016-07-23 00:00:00,One,補給,1500.0,TWD,From Dad,transaction
2016-07-24 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-25 00:00:00,One,增肥,-100.0,TWD,牛肉麵,transaction
2016-07-25 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-26 00:00:00,One,補給,600.0,TWD,晚餐補助,transaction
2016-07-26 00:00:00,One,增肥,-75.0,TWD,中餐,transaction
2016-07-26 00:00:00,One,增肥,-25.0,TWD,飲料,transaction
2016-07-26 00:00:00,One,一起,-40.0,TWD,停車費,transaction
2016-07-26 00:00:00,One,增肥,-230.0,TWD,晚餐,transaction
2016-07-27 00:00:00,One,增肥,-65.0,TWD,鹹酥雞,transaction
2016-07-27 00:00:00,One,增肥,-10.0,TWD,Fin,transaction
2016-07-27 00:00:00,One,增肥,-60.0,TWD,餛飩麵,transaction
2016-07-27 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-27 00:00:00,One,增肥,-65.0,TWD,早餐,transaction
2016-07-27 00:00:00,One,增肥,-39.0,TWD,美麗果,transaction
2016-07-28 00:00:00,One,一起,-25.0,TWD,,transaction
2016-07-28 00:00:00,One,增肥,-25.0,TWD,早餐,transaction
2016-07-28 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-28 00:00:00,One,增肥,-105.0,TWD,晚餐,transaction
2016-07-28 00:00:00,One,一起,-25.0,TWD,,transaction
2016-07-28 00:00:00,One,增肥,-50.0,TWD,Come buy,transaction
2016-07-29 00:00:00,One,增肥,-68.0,TWD,早餐,transaction
2016-07-29 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-07-30 00:00:00,One,增肥,-160.0,TWD,燒烤,transaction
2016-07-30 00:00:00,One,增肥,-80.0,TWD,冰,transaction
2016-07-30 00:00:00,One,增肥,-80.0,TWD,臭豆腐，大腸麵線,transaction
2016-07-30 00:00:00,One,一起,-60.0,TWD,停車費,transaction
2016-07-30 00:00:00,One,增肥,-370.0,TWD,麥當勞,transaction
2016-07-30 00:00:00,One,增肥,-400.0,TWD,啤酒,transaction
2016-07-30 00:00:00,One,增肥,-66.0,TWD,早餐,transaction
2016-07-31 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-01 00:00:00,One,該死,-2500.0,TWD,Cigarettes,transaction
2016-08-02 00:00:00,One,增肥,-110.0,TWD,牛肉麵,transaction
2016-08-02 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-02 00:00:00,One,增肥,-135.0,TWD,宵夜,transaction
2016-08-03 00:00:00,One,增肥,-35.0,TWD,Beer,transaction
2016-08-03 00:00:00,One,苦口,-40.0,TWD,,transaction
2016-08-03 00:00:00,One,苦口,-150.0,TWD,,transaction
2016-08-03 00:00:00,One,增肥,-125.0,TWD,中餐,transaction
2016-08-03 00:00:00,One,增肥,-50.0,TWD,飲料,transaction
2016-08-03 00:00:00,One,增肥,-89.0,TWD,Subway,transaction
2016-08-04 00:00:00,One,增肥,-89.0,TWD,Subway,transaction
2016-08-04 00:00:00,One,增肥,-91.0,TWD,早午餐,transaction
2016-08-04 00:00:00,One,頭暈,-438.0,TWD,剪頭髮,transaction
2016-08-04 00:00:00,One,增肥,-60.0,TWD,白砂糖,transaction
2016-08-05 00:00:00,One,增肥,-179.0,TWD,Subway,transaction
2016-08-06 00:00:00,One,增肥,-55.0,TWD,,transaction
2016-08-06 00:00:00,One,增肥,-800.0,TWD,清粥小菜,transaction
2016-08-07 00:00:00,One,該死,-250.0,TWD,門票,transaction
2016-08-07 00:00:00,One,增肥,-140.0,TWD,早餐,transaction
2016-08-07 00:00:00,One,增肥,-145.0,TWD,中餐,transaction
2016-08-07 00:00:00,One,增肥,-1300.0,TWD,酒錢，宜蘭錢，餐費,transaction
2016-08-07 00:00:00,One,增肥,-50.0,TWD,,transaction
2016-08-07 00:00:00,One,一起,-105.0,TWD,停車費,transaction
2016-08-08 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-08 00:00:00,One,增肥,-131.0,TWD,早餐,transaction
2016-08-09 00:00:00,One,增肥,-35.0,TWD,早餐,transaction
2016-08-09 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-10 00:00:00,One,增肥,-99.0,TWD,Subway,transaction
2016-08-10 00:00:00,One,增肥,-379.0,TWD,KFC,transaction
2016-08-10 00:00:00,One,增肥,-28.0,TWD,,transaction
2016-08-11 00:00:00,One,該死,-1800.0,TWD,Cigarettes,transaction
